date,year,month,sector,emission,is_outlier
2005-01-01,2005,1,total,11.137358738850175,False
2005-02-01,2005,2,total,11.137358738850175,False
2005-03-01,2005,3,total,12.49517036804069,False
2005-04-01,2005,4,total,12.54733125844405,False
2005-05-01,2005,5,total,13.420679476436597,False
2005-06-01,2005,6,total,14.021809215576827,False
2005-07-01,2005,7,total,14.752544150071484,False
2005-08-01,2005,8,total,14.54866925480899,False
2005-09-01,2005,9,total,13.466880129568908,False
2005-10-01,2005,10,total,11.137358738850175,False
2005-11-01,2005,11,total,12.305836087050523,False
2005-12-01,2005,12,total,11.369314861746844,False
2006-01-01,2006,1,total,11.137358738850175,False
2006-02-01,2006,2,total,11.137358738850175,False
2006-03-01,2006,3,total,12.552091053603005,False
2006-04-01,2006,4,total,12.651715642795459,False
2006-05-01,2006,5,total,13.727900679205417,False
2006-06-01,2006,6,total,14.33387617346961,False
2006-07-01,2006,7,total,15.40240284861498,False
2006-08-01,2006,8,total,14.816948199219532,False
2006-09-01,2006,9,total,13.78566126458469,False
2006-10-01,2006,10,total,11.137358738850175,False
2006-11-01,2006,11,total,12.785326278037884,False
2006-12-01,2006,12,total,11.845952209070596,False
2007-01-01,2007,1,total,11.137358738850175,False
2007-02-01,2007,2,total,11.137358738850175,False
2007-03-01,2007,3,total,12.806395142426378,False
2007-04-01,2007,4,total,13.087441447097827,False
2007-05-01,2007,5,total,13.81397056259107,False
2007-06-01,2007,6,total,14.801583814023383,False
2007-07-01,2007,7,total,15.591861658612636,False
2007-08-01,2007,8,total,15.154551868137569,False
2007-09-01,2007,9,total,14.228542017925477,False
2007-10-01,2007,10,total,11.137358738850175,False
2007-11-01,2007,11,total,12.954882752640163,False
2007-12-01,2007,12,total,12.211221175775327,False
2008-01-01,2008,1,total,11.142594057549347,False
2008-02-01,2008,2,total,11.137358738850175,False
2008-03-01,2008,3,total,13.008535536801128,False
2008-04-01,2008,4,total,13.095397706588269,False
2008-05-01,2008,5,total,14.516531641254032,False
2008-06-01,2008,6,total,14.870522383832713,False
2008-07-01,2008,7,total,15.822335295727493,False
2008-08-01,2008,8,total,15.559772214232963,False
2008-09-01,2008,9,total,14.331670219370526,False
2008-10-01,2008,10,total,11.706949792582883,False
2008-11-01,2008,11,total,13.455609154395674,False
2008-12-01,2008,12,total,12.614753736607302,False
2009-01-01,2009,1,total,11.492577289645935,False
2009-02-01,2009,2,total,11.137358738850175,False
2009-03-01,2009,3,total,13.40149464755297,False
2009-04-01,2009,4,total,13.585592297790976,False
2009-05-01,2009,5,total,14.796593934587158,False
2009-06-01,2009,6,total,15.349163172149659,False
2009-07-01,2009,7,total,16.295847753203322,False
2009-08-01,2009,8,total,15.80648647093401,False
2009-09-01,2009,9,total,14.642675836154652,False
2009-10-01,2009,10,total,11.49977102000956,False
2009-11-01,2009,11,total,13.646999204705155,False
2009-12-01,2009,12,total,12.960731668913217,False
2010-01-01,2010,1,total,11.728641792219468,False
2010-02-01,2010,2,total,11.137358738850175,False
2010-03-01,2010,3,total,13.712189169645029,False
2010-04-01,2010,4,total,13.575597305382606,False
2010-05-01,2010,5,total,14.928516283024054,False
2010-06-01,2010,6,total,15.793104901058472,False
2010-07-01,2010,7,total,16.616544218525522,False
2010-08-01,2010,8,total,16.347914690025814,False
2010-09-01,2010,9,total,14.82002834790292,False
2010-10-01,2010,10,total,11.983111071702748,False
2010-11-01,2010,11,total,13.978581986891127,False
2010-12-01,2010,12,total,13.046284294061412,False
2011-01-01,2011,1,total,11.831403427640856,False
2011-02-01,2011,2,total,11.137358738850175,False
2011-03-01,2011,3,total,14.069288176608259,False
2011-04-01,2011,4,total,14.337482063400257,False
2011-05-01,2011,5,total,14.985192942770448,False
2011-06-01,2011,6,total,15.951692999664216,False
2011-07-01,2011,7,total,17.21898647292461,False
2011-08-01,2011,8,total,16.467920128009304,False
2011-09-01,2011,9,total,15.19166941315658,False
2011-10-01,2011,10,total,12.261401680176744,False
2011-11-01,2011,11,total,14.110327361748512,False
2011-12-01,2011,12,total,13.34694252059477,False
2012-01-01,2012,1,total,12.529419333945294,False
2012-02-01,2012,2,total,11.18514680986131,False
2012-03-01,2012,3,total,14.307787309202732,False
2012-04-01,2012,4,total,14.442827295439196,False
2012-05-01,2012,5,total,15.425175262465181,False
2012-06-01,2012,6,total,16.018860464634187,False
2012-07-01,2012,7,total,17.535890638522883,False
2012-08-01,2012,8,total,16.847135304126486,False
2012-09-01,2012,9,total,15.743391299778052,False
2012-10-01,2012,10,total,12.331959140872707,False
2012-11-01,2012,11,total,14.791628356592671,False
2012-12-01,2012,12,total,13.145615520088656,False
2013-01-01,2013,1,total,12.43973500363872,False
2013-02-01,2013,2,total,11.392917030604139,False
2013-03-01,2013,3,total,14.549148644580942,False
2013-04-01,2013,4,total,14.76758825032743,False
2013-05-01,2013,5,total,15.574934802886068,False
2013-06-01,2013,6,total,16.70894363876551,False
2013-07-01,2013,7,total,17.78726654607052,False
2013-08-01,2013,8,total,17.08401464380588,False
2013-09-01,2013,9,total,16.138076310442298,False
2013-10-01,2013,10,total,12.61687391654825,False
2013-11-01,2013,11,total,14.804215301570913,False
2013-12-01,2013,12,total,13.880884705254793,False
2014-01-01,2014,1,total,12.492756066428178,False
2014-02-01,2014,2,total,11.868814477519622,False
2014-03-01,2014,3,total,14.822277904668807,False
2014-04-01,2014,4,total,14.935631971918049,False
2014-05-01,2014,5,total,15.968852654872837,False
2014-06-01,2014,6,total,16.89502130718147,False
2014-07-01,2014,7,total,18.028348381772588,False
2014-08-01,2014,8,total,17.62458774181241,False
2014-09-01,2014,9,total,16.226800080197282,False
2014-10-01,2014,10,total,13.179824083092202,False
2014-11-01,2014,11,total,15.087369426512968,False
2014-12-01,2014,12,total,14.029181794145511,False
2015-01-01,2015,1,total,12.92683079628859,False
2015-02-01,2015,2,total,11.948579159988222,False
2015-03-01,2015,3,total,15.050580992670591,False
2015-04-01,2015,4,total,15.094652526847756,False
2015-05-01,2015,5,total,16.63391093876024,False
2015-06-01,2015,6,total,17.046389479308004,False
2015-07-01,2015,7,total,18.674777464387596,False
2015-08-01,2015,8,total,17.64174351193435,False
2015-09-01,2015,9,total,16.408459176783406,False
2015-10-01,2015,10,total,13.404336194406271,False
2015-11-01,2015,11,total,15.085796504858026,False
2015-12-01,2015,12,total,14.62788657172959,False
2016-01-01,2016,1,total,12.95479479065521,False
2016-02-01,2016,2,total,12.433247570710982,False
2016-03-01,2016,3,total,15.41888792947946,False
2016-04-01,2016,4,total,15.726766958717343,False
2016-05-01,2016,5,total,16.679295685468603,False
2016-06-01,2016,6,total,17.29210584409008,False
2016-07-01,2016,7,total,18.54942073809055,False
2016-08-01,2016,8,total,18.109903756468412,False
2016-09-01,2016,9,total,17.301008779148283,False
2016-10-01,2016,10,total,13.541605181375509,False
2016-11-01,2016,11,total,15.51095081695574,False
2016-12-01,2016,12,total,14.374740355577126,False
2017-01-01,2017,1,total,13.411867293444155,False
2017-02-01,2017,2,total,12.47573853162618,False
2017-03-01,2017,3,total,15.370337852879079,False
2017-04-01,2017,4,total,15.974515131991271,False
2017-05-01,2017,5,total,16.820119982050464,False
2017-06-01,2017,6,total,17.810591773252835,False
2017-07-01,2017,7,total,19.01512458289482,False
2017-08-01,2017,8,total,18.725409434115786,False
2017-09-01,2017,9,total,17.330569313770397,False
2017-10-01,2017,10,total,13.490559518153754,False
2017-11-01,2017,11,total,15.863539939879406,False
2017-12-01,2017,12,total,14.912404745638979,False
2018-01-01,2018,1,total,13.515061178795564,False
2018-02-01,2018,2,total,12.20969614277865,False
2018-03-01,2018,3,total,16.23248793789633,False
2018-04-01,2018,4,total,16.1901262042914,False
2018-05-01,2018,5,total,17.21435160688807,False
2018-06-01,2018,6,total,18.19928847129492,False
2018-07-01,2018,7,total,19.020414162562357,False
2018-08-01,2018,8,total,18.947587269650427,False
2018-09-01,2018,9,total,17.512075007591548,False
2018-10-01,2018,10,total,13.923740734133167,False
2018-11-01,2018,11,total,15.990978183723998,False
2018-12-01,2018,12,total,15.507568011709038,False
2019-01-01,2019,1,total,13.802868331038102,False
2019-02-01,2019,2,total,12.739743448634599,False
2019-03-01,2019,3,total,16.324460608088152,False
2019-04-01,2019,4,total,16.322846565232076,False
2019-05-01,2019,5,total,17.775296928470475,False
2019-06-01,2019,6,total,18.77702535131743,False
2019-07-01,2019,7,total,19.490118912479414,False
2019-08-01,2019,8,total,18.79356515207662,False
2019-09-01,2019,9,total,17.983354837526573,False
2019-10-01,2019,10,total,13.860448528529231,False
2019-11-01,2019,11,total,16.415199683261566,False
2019-12-01,2019,12,total,15.391262098079293,False
2020-01-01,2020,1,total,14.140602377359112,False
2020-02-01,2020,2,total,13.19457495594068,False
2020-03-01,2020,3,total,16.45395318504827,False
2020-04-01,2020,4,total,16.451149546326562,False
2020-05-01,2020,5,total,17.993847853174078,False
2020-06-01,2020,6,total,18.587893027001627,False
2020-07-01,2020,7,total,19.65804599286458,False
2020-08-01,2020,8,total,19.65804599286458,False
2020-09-01,2020,9,total,18.266464830763645,False
2020-10-01,2020,10,total,14.033706469740975,False
2020-11-01,2020,11,total,16.626226662478334,False
2020-12-01,2020,12,total,15.484436157083703,False
2021-01-01,2021,1,total,14.1439472183834,False
2021-02-01,2021,2,total,13.283630644781608,False
2021-03-01,2021,3,total,16.67399940635021,False
2021-04-01,2021,4,total,16.890404446968994,False
2021-05-01,2021,5,total,18.265741431091588,False
2021-06-01,2021,6,total,18.943753865579914,False
2021-07-01,2021,7,total,19.65804599286458,False
2021-08-01,2021,8,total,19.43197611098612,False
2021-09-01,2021,9,total,18.516457872794856,False
2021-10-01,2021,10,total,14.710928869453,False
2021-11-01,2021,11,total,16.626216259995434,False
2021-12-01,2021,12,total,16.026462982868708,False
2022-01-01,2022,1,total,14.49217880224699,False
2022-02-01,2022,2,total,13.392969199671533,False
2022-03-01,2022,3,total,17.01150024040058,False
2022-04-01,2022,4,total,17.304195464572672,False
2022-05-01,2022,5,total,18.816899910629246,False
2022-06-01,2022,6,total,19.406378148084883,False
2022-07-01,2022,7,total,19.65804599286458,False
2022-08-01,2022,8,total,19.65804599286458,False
2022-09-01,2022,9,total,18.903358215544866,False
2022-10-01,2022,10,total,14.482312234757378,False
2022-11-01,2022,11,total,17.13661493770459,False
2022-12-01,2022,12,total,15.980375633277875,False
2023-01-01,2023,1,total,14.54517588497816,False
2023-02-01,2023,2,total,13.743062888694473,False
2023-03-01,2023,3,total,17.720495661717635,False
2023-04-01,2023,4,total,17.390749867260528,False
2023-05-01,2023,5,total,18.507912732240264,False
2023-06-01,2023,6,total,19.537210152464546,False
2023-07-01,2023,7,total,19.65804599286458,False
2023-08-01,2023,8,total,19.65804599286458,False
2023-09-01,2023,9,total,18.838948838691746,False
2023-10-01,2023,10,total,14.758181383288434,False
2023-11-01,2023,11,total,17.63155114163825,False
2023-12-01,2023,12,total,15.95692923748689,False
2024-01-01,2024,1,total,14.692428905308288,False
2024-02-01,2024,2,total,13.765670165360664,False
2024-03-01,2024,3,total,17.381353085405948,False
2024-04-01,2024,4,total,17.88530093608117,False
2024-05-01,2024,5,total,19.064743312121173,False
2024-06-01,2024,6,total,19.65804599286458,False
2024-07-01,2024,7,total,19.65804599286458,False
2024-08-01,2024,8,total,19.65804599286458,False
2024-09-01,2024,9,total,18.759766360896112,False
2024-10-01,2024,10,total,15.196168364259904,False
2024-11-01,2024,11,total,17.77135896296928,False
2024-12-01,2024,12,total,16.64216376631244,False
2025-01-01,2025,1,total,15.122391475325033,False
2025-02-01,2025,2,total,14.085236456913123,False
2025-03-01,2025,3,total,17.60576134611316,False
2025-04-01,2025,4,total,17.702888687409594,False
2025-05-01,2025,5,total,19.246290704265643,False
2025-06-01,2025,6,total,19.65804599286458,False
2025-07-01,2025,7,total,19.65804599286458,False
2025-08-01,2025,8,total,19.65804599286458,False
2025-09-01,2025,9,total,19.556971621458572,False
2025-10-01,2025,10,total,15.185764538622497,False
2025-11-01,2025,11,total,17.692389551090297,False
2025-12-01,2025,12,total,16.977760489323032,False
2005-01-01,2005,1,building,3.879621238790807,False
2005-02-01,2005,2,building,3.879621238790807,False
2005-03-01,2005,3,building,4.333872201935647,False
2005-04-01,2005,4,building,4.351963882664189,False
2005-05-01,2005,5,building,4.654879285422434,False
2005-06-01,2005,6,building,4.8633774002524754,False
2005-07-01,2005,7,building,5.1168282717739855,False
2005-08-01,2005,8,building,5.046115531152969,False
2005-09-01,2005,9,building,4.670903694888152,False
2005-10-01,2005,10,building,3.879621238790807,False
2005-11-01,2005,11,building,4.268202783025161,False
2005-12-01,2005,12,building,3.9433762152140046,False
2006-01-01,2006,1,building,3.879621238790807,False
2006-02-01,2006,2,building,3.879621238790807,False
2006-03-01,2006,3,building,4.358176780277718,False
2006-04-01,2006,4,building,4.392767158048969,False
2006-05-01,2006,5,building,4.766426384781387,False
2006-06-01,2006,6,building,4.976825458309574,False
2006-07-01,2006,7,building,5.347825646631916,False
2006-08-01,2006,8,building,5.14455155883214,False
2006-09-01,2006,9,building,4.78648127770243,False
2006-10-01,2006,10,building,3.879621238790807,False
2006-11-01,2006,11,building,4.4391577367680854,False
2006-12-01,2006,12,building,4.113000267236896,False
2007-01-01,2007,1,building,3.879621238790807,False
2007-02-01,2007,2,building,3.879621238790807,False
2007-03-01,2007,3,building,4.452553266261238,False
