date,sector,annual_total,seasonal_weight,final_weight,monthly_emission
2005-01-01,total,150.0,0.08507596307095715,0.06982873647719846,10.47431047157977
2005-02-01,total,150.0,0.07802960668847793,0.06575799356003031,9.863699034004547
2005-03-01,total,150.0,0.08165440990500446,0.08330113578693793,12.49517036804069
2005-04-01,total,150.0,0.08024288845147394,0.08364887505629366,12.54733125844405
2005-05-01,total,150.0,0.08315699562931268,0.08947119650957731,13.420679476436597
2005-06-01,total,150.0,0.08563854474506132,0.09347872810384551,14.021809215576827
2005-07-01,total,150.0,0.08969601340289703,0.0983502943338099,14.752544150071484
2005-08-01,total,150.0,0.08844125021887857,0.09699112836539327,14.54866925480899
2005-09-01,total,150.0,0.08438217915201138,0.08977920086379272,13.466880129568908
2005-10-01,total,150.0,0.08095573624492837,0.07155837128447166,10.73375569267075
2005-11-01,total,150.0,0.08312255196470393,0.08203890724700348,12.305836087050523
2005-12-01,total,150.0,0.07960386052629317,0.07579543241164563,11.369314861746844
2006-01-01,total,153.45823538240893,0.08507596307095715,0.07030533452183695,10.788932573691055
2006-02-01,total,153.45823538240893,0.07802960668847793,0.065074109237557,9.986157972677615
2006-03-01,total,153.45823538240893,0.08165440990500446,0.0817948350723826,12.552091053603005
2006-04-01,total,153.45823538240893,0.08024288845147394,0.08244403183229708,12.651715642795459
2006-05-01,total,153.45823538240893,0.08315699562931268,0.08945691734950746,13.727900679205417
2006-06-01,total,153.45823538240893,0.08563854474506132,0.09340571483668134,14.33387617346961
2006-07-01,total,153.45823538240893,0.08969601340289703,0.1003686951712503,15.40240284861498
2006-08-01,total,153.45823538240893,0.08844125021887857,0.09655362035342427,14.816948199219532
2006-09-01,total,153.45823538240893,0.08438217915201138,0.08983331021780375,13.78566126458469
2006-10-01,total,153.45823538240893,0.08095573624492837,0.07025540506557239,10.781270487439093
2006-11-01,total,153.45823538240893,0.08312255196470393,0.08331469631576044,12.785326278037884
2006-12-01,total,153.45823538240893,0.07960386052629317,0.07719333002592645,11.845952209070596
2007-01-01,total,156.92977246812092,0.08507596307095715,0.06953008683103735,10.911340706083383
2007-02-01,total,156.92977246812092,0.07802960668847793,0.06523313674523838,10.237021306812077
2007-03-01,total,156.92977246812092,0.08165440990500446,0.08160589887446565,12.806395142426378
2007-04-01,total,156.92977246812092,0.08024288845147394,0.08339680381398909,13.087441447097827
2007-05-01,total,156.92977246812092,0.08315699562931268,0.08802644868039475,13.81397056259107
2007-06-01,total,156.92977246812092,0.08563854474506132,0.0943197940150599,14.801583814023383
2007-07-01,total,156.92977246812092,0.08969601340289703,0.09935566344990403,15.591861658612636
2007-08-01,total,156.92977246812092,0.08844125021887857,0.09656900427365432,15.154551868137569
2007-09-01,total,156.92977246812092,0.08438217915201138,0.09066821288366997,14.228542017925477
2007-10-01,total,156.92977246812092,0.08095573624492837,0.07092956193673701,11.13096001599563
2007-11-01,total,156.92977246812092,0.08312255196470393,0.08255210307701076,12.954882752640163
2007-12-01,total,156.92977246812092,0.07960386052629317,0.07781328541883882,12.211221175775327
2008-01-01,total,160.4096313857746,0.08507596307095715,0.06946337299879546,11.142594057549347
2008-02-01,total,160.4096313857746,0.07802960668847793,0.06411684608948205,10.28495964683226
2008-03-01,total,160.4096313857746,0.08165440990500446,0.08109572613826696,13.008535536801128
2008-04-01,total,160.4096313857746,0.08024288845147394,0.08163722834755914,13.095397706588269
2008-05-01,total,160.4096313857746,0.08315699562931268,0.09049663362384226,14.516531641254032
2008-06-01,total,160.4096313857746,0.08563854474506132,0.0927034259437333,14.870522383832713
2008-07-01,total,160.4096313857746,0.08969601340289703,0.09863706536221518,15.822335295727493
2008-08-01,total,160.4096313857746,0.08844125021887857,0.09700023670531813,15.559772214232963
2008-09-01,total,160.4096313857746,0.08438217915201138,0.08934420019271663,14.331670219370526
2008-10-01,total,160.4096313857746,0.08095573624492837,0.07298158901960469,11.706949792582883
2008-11-01,total,160.4096313857746,0.08312255196470393,0.08388280079040779,13.455609154395674
2008-12-01,total,160.4096313857746,0.07960386052629317,0.0786408747880584,12.614753736607302
2009-01-01,total,163.89257314362004,0.08507596307095715,0.07012262404090099,11.492577289645935
2009-02-01,total,163.89257314362004,0.07802960668847793,0.06354552648854334,10.414639847973433
2009-03-01,total,163.89257314362004,0.08165440990500446,0.08176999354210615,13.40149464755297
2009-04-01,total,163.89257314362004,0.08024288845147394,0.08289327598686147,13.585592297790976
2009-05-01,total,163.89257314362004,0.08315699562931268,0.09028227241036,14.796593934587158
2009-06-01,total,163.89257314362004,0.08563854474506132,0.09365380552478784,15.349163172149659
2009-07-01,total,163.89257314362004,0.08969601340289703,0.09943005616809233,16.295847753203322
2009-08-01,total,163.89257314362004,0.08844125021887857,0.09644419004321014,15.80648647093401
2009-09-01,total,163.89257314362004,0.08438217915201138,0.08934313224384602,14.642675836154652
2009-10-01,total,163.89257314362004,0.08095573624492837,0.07016651700215995,11.49977102000956
2009-11-01,total,163.89257314362004,0.08312255196470393,0.0832679537757102,13.646999204705155
2009-12-01,total,163.89257314362004,0.07960386052629317,0.07908065277342159,12.960731668913217
2010-01-01,total,167.3731564160908,0.08507596307095715,0.07007480795225003,11.728641792219468
2010-02-01,total,167.3731564160908,0.07802960668847793,0.06478125039774442,10.842642355651622
2010-03-01,total,167.3731564160908,0.08165440990500446,0.08192585635151932,13.712189169645029
2010-04-01,total,167.3731564160908,0.08024288845147394,0.08110976452898802,13.575597305382606
2010-05-01,total,167.3731564160908,0.08315699562931268,0.08919301399748751,14.928516283024054
2010-06-01,total,167.3731564160908,0.08563854474506132,0.09435864889705912,15.793104901058472
2010-07-01,total,167.3731564160908,0.08969601340289703,0.09927843015170652,16.616544218525522
2010-08-01,total,167.3731564160908,0.08844125021887857,0.09767345636587499,16.347914690025814
2010-09-01,total,167.3731564160908,0.08438217915201138,0.08854483398198112,14.82002834790292
2010-10-01,total,167.3731564160908,0.08095573624492837,0.07159517887033601,11.983111071702748
2010-11-01,total,167.3731564160908,0.08312255196470393,0.0835174665173923,13.978581986891127
2010-12-01,total,167.3731564160908,0.07960386052629317,0.07794729198766055,13.046284294061412
2011-01-01,total,170.845798065911,0.08507596307095715,0.06925194275528153,11.831403427640856
2011-02-01,total,170.845798065911,0.07802960668847793,0.06481570518312887,11.073490879216456
2011-03-01,total,170.845798065911,0.08165440990500446,0.08235080017116041,14.069288176608259
2011-04-01,total,170.845798065911,0.08024288845147394,0.08392060106663535,14.337482063400257
2011-05-01,total,170.845798065911,0.08315699562931268,0.08771180276256649,14.985192942770448
2011-06-01,total,170.845798065911,0.08563854474506132,0.09336895130139622,15.951692999664216
2011-07-01,total,170.845798065911,0.08969601340289703,0.1007867133277791,17.21898647292461
2011-08-01,total,170.845798065911,0.08844125021887857,0.09639054816938551,16.467920128009304
2011-09-01,total,170.845798065911,0.08438217915201138,0.0889203573347221,15.19166941315658
2011-10-01,total,170.845798065911,0.08095573624492837,0.07176882205464831,12.261401680176744
2011-11-01,total,170.845798065911,0.08312255196470393,0.08259101202070451,14.110327361748512
2011-12-01,total,170.845798065911,0.07960386052629317,0.07812274385259169,13.34694252059477
2012-01-01,total,174.30483673552936,0.08507596307095715,0.07188222408857209,12.529419333945294
2012-02-01,total,174.30483673552936,0.07802960668847793,0.0641700311898539,11.18514680986131
2012-03-01,total,174.30483673552936,0.08165440990500446,0.0820848553440417,14.307787309202732
2012-04-01,total,174.30483673552936,0.08024288845147394,0.08285958993411711,14.442827295439196
2012-05-01,total,174.30483673552936,0.08315699562931268,0.08849539434106246,15.425175262465181
2012-06-01,total,174.30483673552936,0.08563854474506132,0.09190141114064099,16.018860464634187
2012-07-01,total,174.30483673552936,0.08969601340289703,0.10060472771119873,17.535890638522883
2012-08-01,total,174.30483673552936,0.08844125021887857,0.0966532863898002,16.847135304126486
2012-09-01,total,174.30483673552936,0.08438217915201138,0.09032102375716235,15.743391299778052
2012-10-01,total,174.30483673552936,0.08095573624492837,0.07074938006214848,12.331959140872707
2012-11-01,total,174.30483673552936,0.08312255196470393,0.08486068793969172,14.791628356592671
2012-12-01,total,174.30483673552936,0.07960386052629317,0.07541738810171023,13.145615520088656
2013-01-01,total,177.7445987944955,0.08507596307095715,0.06998657111387827,12.43973500363872
2013-02-01,total,177.7445987944955,0.07802960668847793,0.0640971208569684,11.392917030604139
2013-03-01,total,177.7445987944955,0.08165440990500446,0.08185423772793432,14.549148644580942
2013-04-01,total,177.7445987944955,0.08024288845147394,0.08308318987178565,14.76758825032743
2013-05-01,total,177.7445987944955,0.08315699562931268,0.08762536194359118,15.574934802886068
2013-06-01,total,177.7445987944955,0.08563854474506132,0.09400535235438595,16.70894363876551
2013-07-01,total,177.7445987944955,0.08969601340289703,0.10007205094673946,17.78726654607052
2013-08-01,total,177.7445987944955,0.08844125021887857,0.0961155205821925,17.08401464380588
2013-09-01,total,177.7445987944955,0.08438217915201138,0.09079362422202655,16.138076310442298
2013-10-01,total,177.7445987944955,0.08095573624492837,0.07098316349480532,12.61687391654825
2013-11-01,total,177.7445987944955,0.08312255196470393,0.0832892554934242,14.804215301570913
2013-12-01,total,177.7445987944955,0.07960386052629317,0.07809455139226805,13.880884705254793
